series,website
"Cosmology from Home 2020","https://www.cosmologyfromhome.com/cosmology-from-home-2020/"
"Cosmology on the Beach","https://www.youtube.com/watch?v=DROKbWk2cj4&list=PLvdNof40rNJmAqLCsIJmMH4zvFSLQ6f0N&index=1"
"Cosmos from Your Couch","http://www.dunlap.utoronto.ca/public-outreach/couch-cosmos/"
"Dark Energy Survey","https://www.youtube.com/channel/UCkAD7Un4aX--Y2ETTs_mImQ/videos"
"Durham University","https://icc.dur.ac.uk/"
"ESO H0 2020 Conference","https://www.eso.org/sci/meetings/2020/H0/program.html"
"First EuCAPT Annual Symposium","https://indico.cern.ch/event/853904/contributions/"
"Galileo Galilei Institute","https://www.ggi.infn.it/"
"Golden Webinars in Astronomy, Astrophysics, and Cosmology","http://astro.uc.cl/en/item-3-menu-izquierdo-2/573-golden-webinars-in-astrophysics-now-on-youtube"
"Gravitational-Wave Primordial Cosmology (May 2021)","https://indico.in2p3.fr/event/23850/contributions/"
"Gravity Seminars SISSA","https://www.youtube.com/channel/UCEzvfKbk0kNf3tjohP97FnA/videos"
"Growth of Structure over Cosmic Time (UCSC summer series 2021)","https://growthofstructure.sites.ucsc.edu/"
"Heidelberg Joint Astronomical Colloquium","https://www.youtube.com/user/AstronomyHeidelberg/videos"
"IAP (Institut d'Astrophysique de Paris)","https://www.youtube.com/playlist?list=PLUgAV7nixQ3_lh6Bn_i4q06WOUrGa5Bcn"
"IAS","https://www.ias.edu/video?tags=All&search=cosmology"
"ICTP Adv School on Cosmology 2015","http://indico.ictp.it/event/a14277/other-view?view=ictptimetable"
"ICTP Cosmology Summer School 2016","http://indico.ictp.it/event/7626/other-view?view=ictptimetable"
"ICTP Salam Distinguished Lectures","https://www.ictp.it/about-ictp/salam-lecture-series.aspx"
"ICTP Summer School 2015","http://indico.ictp.it/event/a14276/other-view?view=ictptimetable"
"ICTP Summer School on Cosmology 2018","http://indico.ictp.it/event/8317/other-view?view=ictptimetable"
"ICTP Summer School on Particle Physics 2017","http://indico.ictp.it/event/7968/other-view?view=ictptimetable"
"ICTP-HECAP19","http://indico.ictp.it/event/8690/other-view?view=ictptimetable"
"ICTP-SAIFR 3rd S.A. Dark Matter Workshop (Dec. 2020)","https://www.ictp-saifr.org/dmw2020/"
"ICTP-SAIFR Challenges for the Standard Cosmological Model (2021)","https://www.ictp-saifr.org/cosmo2021/"
"ICTP-SAIFR Early Universe Cosmology, Baryogenesis and Dark Matter Workshop (Oct. 2019)","https://www.ictp-saifr.org/dark-universe-workshop-early-universe-cosmology-baryogenesis-and-dark-matter/"
"ICTP-SAIFR Latin American Workshop on Observational Cosmology (Dec. 2020)","https://www.ictp-saifr.org/lawoc2020/"
"ICTP-SAIFR New Trends in Dark Matter workshop (Dec. 2020)","https://www.ictp-saifr.org/ntdm2020/"
"ICTP-SAIFR School on Observational Cosmology 2019","https://www.ictp-saifr.org/iii-joint-ictp-trieste-ictp-saifr-school-on-observational-cosmology/"
"ICTP-SAIFR School on Open Problems in Cosmology (2017)","https://www.ictp-saifr.org/ictp-triesteictp-saifr-school-on-open-problems-in-cosmology/"
"ICTP-SAIFR Workshop on Cosmology in the LSST Era (Dec. 2018)","https://www.ictp-saifr.org/south-american-workshop-on-cosmology-in-the-lsst-era/"
"ICTS Physics of the Early Universe (Sept 2020 program)","https://www.icts.res.in/program/peu/talks"
"IFT Webinars","https://www.youtube.com/channel/UCcdmQRtxk_xdpt9iFATTDQQ/videos"
"ITB Summer School on Galaxies and Cosmology 2020","https://www.as.itb.ac.id/ssgc2020/programs/"
"International Loop Quantum Gravity Seminar","http://relativity.phys.lsu.edu/ilqgs/"
"Jagiellonian U. 3rd Cosmology School","http://cosmoschool2017.oa.uj.edu.pl/program.html"
"KICP Colloquia","https://www.youtube.com/channel/UCejbBNzH6AfWNwg5V_AQGlg/videos"
"KICP Cosmic Controversies conference","https://kicp-workshops.uchicago.edu/2019-COSMIC/program.php"
"KIPAC","https://www.youtube.com/c/kipac/playlists"
"KITP Cosmology Talks","http://homer2.kitp.ucsb.edu/cgi-bin/rcarini/search.py?title_words=&speaker=&field=Y&min_scope=0&since_year=2005&inst="
"LSST Dark Energy Science Collaboration","https://lsstdesc.org/"
"Licia Verde's Talks (youtube playlist)","https://www.youtube.com/watch?v=C_nim3H7GYE&list=PLb0Uu8daWIA0eDBxZEHvf5-l2OAUCujZW&index=1"
"MIT 8.286 The Early Universe: 2020 course by Alan Guth","https://web.mit.edu/8.286/www/"
"MITP Non-perturbative Phenomena and the Early Universe","https://www.youtube.com/playlist?list=PLejkXpUan6WFDQGVd6f6-eIfxbQpYljL2"
"MITP Summer School 2017","https://indico.mitp.uni-mainz.de/event/88/overview"
"MLclub.net","http://mlclub.net"
"McGill HEP Seminars","https://www.physics.mcgill.ca/~matteop/HEPTHwebsite.html"
"Miscellaneous",""
"NORDITA","https://www.nordita.org/video/index.php?ev=advcosmo2017"
"NYU Physics Research Seminars","https://physics.nyu.edu/events.html"
"Neutrino 2020","https://indico.fnal.gov/event/43209/timetable/#b-18144-neutrino-cosmology-tal"
"Newton1665","https://www.youtube.com/c/Newton1665physicsseminars/videos"
"PASCOS 2015","http://indico.ictp.it/event/a14275/other-view?view=ictptimetable"
"PPC2021: Interconnections between Particle Physics and Cosmology","https://indico.cern.ch/event/822029/"
"PSW Science","https://pswscience.org/"
"Perimeter Institute","http://pirsa.org"
"QMUL Cosmology Seminars","https://www.youtube.com/channel/UCSqkcW7CMS5X7TArwO5Vpbw/videos"
"Quantum Aspects of Space-Time and Matter","https://www.youtube.com/playlist?list=PLzW8AJcryManrTsG-4U4z9ip1J1dWoNgd"
"Remote2020 (INAF OAS Bologna)","https://www.youtube.com/watch?v=eG2wboBd8wQ&list=PLUG66FrX9GisnZ4dV3lnJemTB8SpLa6fW"
"Risa Wechsler's Talks","https://www.youtube.com/playlist?list=PL93BCCE8FAC40EBD5"
"STScI","https://cloudproject.hosted.panopto.com/Panopto/Pages/Sessions/List.aspx"
"Simons Foundation","https://www.simonsfoundation.org/"
"Simons Summer Workshop 2019","http://scgp.stonybrook.edu/archives/28200"
"TASI 2018","https://physicslearning.colorado.edu/tasi/tasi_2018/tasi_2018.html"
"TASI 2020","https://physicslearning.colorado.edu/tasi/tasi_2020/tasi_2020.html"
"TeVPA 2017","https://tevpa2017.osu.edu/"
"Texas Symposium on Relativistic Astrophysics","https://indico.cern.ch/event/336103/page/3176-plenary-talks"
"UC Riverside Colloquia","https://physics.ucr.edu/colloquia-seminars/previous-colloquia-and-videos"
"UMich 2020 Cosmology Summer School on LSS","https://sites.google.com/a/umich.edu/cosmology-summer-school-2020/home"
"UW Madison Seminars","https://www.youtube.com/channel/UCCLPwWUFaHRj5ikgvg6cL7Q/videos"
"UZH seminars and programs","https://www.youtube.com/channel/UCSuqqBNfOMti2sayMiXRafw/videos"
"Weak Interactions and Neutrinos 2021","https://www.youtube.com/channel/UCP7v5u5LltwNpJLvzRgXu6Q/playlists"
"Zurich Physics Colloquium","https://video.ethz.ch/speakers/zurich_physics_colloquium.html"
